157,   MAF3A1,-1.502,7.314
158,   MAF4A1,-1.209,8.462
159,   MAC3A1,-1.276,10.288
160,   MAC4A1,-1.391,9.133
161,   MAP3A1,-1.195,17.364
162,   MAP4A1,-1.418,14.596
163,   MAO1A1,-0.627,42.754
164,   MAO2A1,-0.726,43.256
165,   MAF7A1,-1.026,4.377
166,   MAF8A1,-0.988,4.155
167,   MAT3A1,-1.079,3.905
168,   MAT4A1,-0.977,4.033
169,   MAT5A1,-0.921,14.152
170,   MAT6A1,-1.116,12.136
171,   MAFzA1,-1.404,8.878
172,   MACzA1,-1.664,10.580
173,   MAPzA1,-1.024,21.215
174,   MAF1A2,0.142,6.222
175,   MAF2A2,-0.080,5.511
176,   MAF3A2,-0.003,8.969
177,   MAF4A2,-0.023,8.505
178,   MAC3A2,-0.090,12.906
179,   MAC4A2,-0.107,12.205
180,   MAP3A2,-0.604,13.606
181,   MAP4A2,-0.603,13.886
182,   MAO1A2,-0.284,33.889
183,   MAO2A2,-0.025,49.335
184,   MAF7A2,0.039,4.603
185,   MAF8A2,0.234,4.871
186,   MAT3A2,-0.177,4.735
187,   MAT4A2,0.292,5.682
188,   MAT5A2,-0.597,10.276
189,   MAT6A2,-0.764,9.037
190,   MAFzA2,-0.060,9.332
191,   MACzA2,-0.292,11.538
192,   MAPzA2,-0.449,16.700
193, COF1F2D1,-0.302,0.661
194, COF1F3D1,0.565,0.547
195, COF1F4D1,0.484,0.411
196, COF1C3D1,-0.150,0.140
197, COF1C4D1,0.575,0.179
198, COF1P3D1,0.350,0.070
199, COF1P4D1,0.864,0.093
200, COF1O1D1,0.175,0.032
201, COF1O2D1,0.853,0.070
202, COF1F7D1,0.750,0.651
203, COF1F8D1,0.848,0.444
204, COF1T3D1,0.025,0.131
205, COF1T4D1,0.768,0.142
206, COF1T5D1,-0.017,0.026
207, COF1T6D1,1.106,0.098
208, COF1FzD1,-0.101,0.384
209, COF1CzD1,0.129,0.137
210, COF1PzD1,0.381,0.054
211, COF2F3D1,0.070,0.331
212, COF2F4D1,0.103,0.462
213, COF2C3D1,-0.073,0.103
214, COF2C4D1,0.500,0.227
215, COF2P3D1,0.496,0.066
216, COF2P4D1,1.115,0.145
217, COF2O1D1,-0.020,0.028
218, COF2O2D1,1.075,0.102
219, COF2F7D1,0.424,0.331
220, COF2F8D1,0.317,0.551
221, COF2T3D1,-0.157,0.042
222, COF2T4D1,0.445,0.182
223, COF2T5D1,0.301,0.041
224, COF2T6D1,1.333,0.143
225, COF2FzD1,0.008,0.388
226, COF2CzD1,0.321,0.167
